inventoryid,name,size,cost
HEA.SHO003-820-5XL,"Totara Mens Healthcatre Shorts, Navy, 5XL",5XL,43.43
HEA.SHO003-820-6XL,"Totara Mens Healthcatre Shorts, Navy, 6XL",6XL,43.43
HEA.SHO003-820-7XL,"Totara Mens Healthcatre Shorts, Navy, 7XL",7XL,43.43
HEA.SHO003-820-8XL,"Totara Mens Healthcatre Shorts, Navy, 8XL",8XL,43.43
LNI.SHR011-720-XS,Shirt Scrub Mens Senior Midwife V Neck Purple Elm (Size XS),XS,49.94
LNI.SHR011-720-S,Shirt Scrub Mens Senior Midwife V Neck Purple Elm (Size S),S,49.94
LNI.SHR011-720-M,Shirt Scrub Mens Senior Midwife V Neck Purple Elm (Size M),M,49.94
LNI.SHR011-720-L,Shirt Scrub Mens Senior Midwife V Neck Purple Elm (Size L),L,49.94
LNI.SHR011-720-XL,Shirt Scrub Mens Senior Midwife V Neck Purple Elm (Size XL),XL,49.94
LNI.SHR011-720-2XL,Shirt Scrub Mens Senior Midwife V Neck Purple Elm (Size 2XL),2XL,49.94
LNI.SHR011-720-3XL,Shirt Scrub Mens Senior Midwife V Neck Purple Elm (Size 3XL),3XL,49.94
LNI.SHR011-720-4XL,Shirt Scrub Mens Senior Midwife V Neck Purple Elm (Size 4XL),4XL,49.94
LNI.SHR013-583-XS,Shirt Scrub Mens Care Assistant V Neck Teal Elm (Size XS),XS,49.94
LNI.SHR013-583-S,Shirt Scrub Mens Care Assistant V Neck Teal Elm (Size S),S,49.94
LNI.SHR013-583-M,Shirt Scrub Mens Care Assistant V Neck Teal Elm (Size M),M,49.94
LNI.SHR013-583-L,Shirt Scrub Mens Care Assistant V Neck Teal Elm (Size L),L,49.94
LNI.SHR013-583-XL,Shirt Scrub Mens Care Assistant V Neck Teal Elm (Size XL),XL,49.94
LNI.SHR013-583-2XL,Shirt Scrub Mens Care Assistant V Neck Teal Elm (Size 2XL),2XL,49.94
LNI.SHR013-583-3XL,Shirt Scrub Mens Care Assistant V Neck Teal Elm (Size 3XL),3XL,49.94
LNI.SHR013-583-4XL,Shirt Scrub Mens Care Assistant V Neck Teal Elm (Size 4XL),4XL,49.94
LNI.SHR010-830-XS,Shirt Scrub Mens Nurse V Neck Royal Elm (Size XS),XS,49.94
LNI.SHR010-830-S,Shirt Scrub Mens Nurse V Neck Royal Elm (Size S),S,49.94
LNI.SHR010-830-M,Shirt Scrub Mens Nurse V Neck Royal Elm (Size M),M,49.94
LNI.SHR010-830-L,Shirt Scrub Mens Nurse V Neck Royal Elm (Size L),L,49.94
LNI.SHR010-830-XL,Shirt Scrub Mens Nurse V Neck Royal Elm (Size XL),XL,49.94
LNI.SHR010-830-2XL,Shirt Scrub Mens Nurse V Neck Royal Elm (Size 2XL),2XL,49.94
LNI.SHR010-830-3XL,Shirt Scrub Mens Nurse V Neck Royal Elm (Size 3XL),3XL,49.94
LNI.SHR010-830-4XL,Shirt Scrub Mens Nurse V Neck Royal Elm (Size 4XL),4XL,49.94
LNI.SHR009-830-XS,Shirt Scrub Mens Senior Nurse V Neck Royal Elm (Size XS),XS,49.94
LNI.SHR009-830-S,Shirt Scrub Mens Senior Nurse V Neck Royal Elm (Size S),S,49.94
LNI.SHR009-830-M,Shirt Scrub Mens Senior Nurse V Neck Royal Elm (Size M),M,49.94
LNI.SHR009-830-L,Shirt Scrub Mens Senior Nurse V Neck Royal Elm (Size L),L,49.94
LNI.SHR009-830-XL,Shirt Scrub Mens Senior Nurse V Neck Royal Elm (Size XL),XL,49.94
LNI.SHR009-830-2XL,Shirt Scrub Mens Senior Nurse V Neck Royal Elm (Size 2XL),2XL,49.94
LNI.SHR009-830-3XL,Shirt Scrub Mens Senior Nurse V Neck Royal Elm (Size 3XL),3XL,49.94
LNI.SHR009-830-4XL,Shirt Scrub Mens Senior Nurse V Neck Royal Elm (Size 4XL),4XL,49.94
LNI.SHR012-720-XS,Shirt Scrub Mens Midwife V Neck Purple Elm (Size XS),XS,49.94
LNI.SHR012-720-S,Shirt Scrub Mens Midwife V Neck Purple Elm (Size S),S,49.94
LNI.SHR012-720-M,Shirt Scrub Mens Midwife V Neck Purple Elm (Size M),M,49.94
LNI.SHR012-720-L,Shirt Scrub Mens Midwife V Neck Purple Elm (Size L),L,49.94
LNI.SHR012-720-XL,Shirt Scrub Mens Midwife V Neck Purple Elm (Size XL),XL,49.94
LNI.SHR012-720-2XL,Shirt Scrub Mens Midwife V Neck Purple Elm (Size 2XL),2XL,49.94
LNI.SHR012-720-3XL,Shirt Scrub Mens Midwife V Neck Purple Elm (Size 3XL),3XL,49.94
LNI.SHR012-720-4XL,Shirt Scrub Mens Midwife V Neck Purple Elm (Size 4XL),4XL,49.94
